,Date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths,population,new_cases_per,new_deaths_per,total_cases_per,total_deaths_per,weekly_cases_per,weekly_deaths_per,biweekly_cases_per,biweekly_deaths_per
1,1/31/2020,United Kingdom,2,NA,2,NA,NA,NA,NA,NA,67886004,0.002946115,NA,0.002946115,NA,NA,NA,NA,NA
2,2/1/2020,United Kingdom,0,NA,2,NA,NA,NA,NA,NA,67886004,0,NA,0.002946115,NA,NA,NA,NA,NA
3,2/2/2020,United Kingdom,0,NA,2,NA,NA,NA,NA,NA,67886004,0,NA,0.002946115,NA,NA,NA,NA,NA
4,2/3/2020,United Kingdom,6,NA,8,NA,NA,NA,NA,NA,67886004,0.008838346,NA,0.011784461,NA,NA,NA,NA,NA
5,2/4/2020,United Kingdom,0,NA,8,NA,NA,NA,NA,NA,67886004,0,NA,0.011784461,NA,NA,NA,NA,NA
6,2/5/2020,United Kingdom,1,NA,9,NA,9,0,NA,NA,67886004,0.001473058,NA,0.013257519,NA,0.013257519,0,NA,NA
7,2/6/2020,United Kingdom,0,NA,9,NA,9,0,NA,NA,67886004,0,NA,0.013257519,NA,0.013257519,0,NA,NA
8,2/7/2020,United Kingdom,0,NA,9,NA,7,0,NA,NA,67886004,0,NA,0.013257519,NA,0.010311404,0,NA,NA
9,2/8/2020,United Kingdom,4,NA,13,NA,11,0,NA,NA,67886004,0.005892231,NA,0.01914975,NA,0.016203635,0,NA,NA
10,2/9/2020,United Kingdom,1,NA,14,NA,12,0,NA,NA,67886004,0.001473058,NA,0.020622808,NA,0.017676692,0,NA,NA
11,2/10/2020,United Kingdom,0,NA,14,NA,6,0,NA,NA,67886004,0,NA,0.020622808,NA,0.008838346,0,NA,NA
12,2/11/2020,United Kingdom,1,NA,15,NA,7,0,NA,NA,67886004,0.001473058,NA,0.022095865,NA,0.010311404,0,NA,NA
13,2/12/2020,United Kingdom,1,NA,16,NA,7,0,16,0,67886004,0.001473058,NA,0.023568923,NA,0.010311404,0,0.023568923,0
14,2/13/2020,United Kingdom,1,NA,17,NA,8,0,17,0,67886004,0.001473058,NA,0.025041981,NA,0.011784461,0,0.025041981,0
15,2/14/2020,United Kingdom,1,NA,18,NA,9,0,16,0,67886004,0.001473058,NA,0.026515038,NA,0.013257519,0,0.023568923,0
16,2/15/2020,United Kingdom,0,NA,18,NA,5,0,16,0,67886004,0,NA,0.026515038,NA,0.007365288,0,0.023568923,0
17,2/16/2020,United Kingdom,0,NA,18,NA,4,0,16,0,67886004,0,NA,0.026515038,NA,0.005892231,0,0.023568923,0
18,2/17/2020,United Kingdom,1,NA,19,NA,5,0,11,0,67886004,0.001473058,NA,0.027988096,NA,0.007365288,0,0.016203635,0
19,2/18/2020,United Kingdom,0,NA,19,NA,4,0,11,0,67886004,0,NA,0.027988096,NA,0.005892231,0,0.016203635,0
20,2/19/2020,United Kingdom,1,NA,20,NA,4,0,11,0,67886004,0.001473058,NA,0.029461154,NA,0.005892231,0,0.016203635,0
21,2/20/2020,United Kingdom,2,NA,22,NA,5,0,13,0,67886004,0.002946115,NA,0.032407269,NA,0.007365288,0,0.01914975,0
22,2/21/2020,United Kingdom,1,NA,23,NA,5,0,14,0,67886004,0.001473058,NA,0.033880327,NA,0.007365288,0,0.020622808,0
23,2/22/2020,United Kingdom,0,NA,23,NA,5,0,10,0,67886004,0,NA,0.033880327,NA,0.007365288,0,0.014730577,0
24,2/23/2020,United Kingdom,5,NA,28,NA,10,0,14,0,67886004,0.007365288,NA,0.041245615,NA,0.014730577,0,0.020622808,0
25,2/24/2020,United Kingdom,2,NA,30,NA,11,0,16,0,67886004,0.002946115,NA,0.044191731,NA,0.016203635,0,0.023568923,0
26,2/25/2020,United Kingdom,4,NA,34,NA,15,0,19,0,67886004,0.005892231,NA,0.050083961,NA,0.022095865,0,0.027988096,0
27,2/26/2020,United Kingdom,3,NA,37,NA,17,0,21,0,67886004,0.004419173,NA,0.054503134,NA,0.025041981,0,0.030934211,0
28,2/27/2020,United Kingdom,7,NA,44,NA,22,0,27,0,67886004,0.010311404,NA,0.064814538,NA,0.032407269,0,0.039772558,0
