"","Date","location","new_cases","new_deaths","total_cases","total_deaths","weekly_cases","weekly_deaths","biweekly_cases","biweekly_deaths","population","new_cases_per","new_deaths_per","total_cases_per","total_deaths_per","weekly_cases_per","weekly_deaths_per","biweekly_cases_per","biweekly_deaths_per"
"1",2021-01-01,"United Kingdom",53458,615,2549689,74237,321742,3935,566861,7597,67886004,78.7467178065158,0.905930477215893,3755.83897971075,109.355383474921,473.944526179505,5.79648199649518,835.01895324403,11.1908192445677
"2",2021-01-02,"United Kingdom",57853,445,2607542,74682,344807,4169,597465,7505,67886004,85.2208063388147,0.655510670505809,3841.05978604957,110.010894145427,507.920601719318,6.14117749514318,880.100410682591,11.055297937407
"3",2021-01-03,"United Kingdom",55157,455,2662699,75137,367471,4277,616538,7634,67886004,81.2494428159301,0.670241247371108,3922.3092288655,110.681135392798,541.305981126831,6.30026772528841,908.196039937776,11.2453223789693
"4",2021-01-04,"United Kingdom",58923,410,2721622,75547,384934,4330,641944,7829,67886004,86.7969780634017,0.603953651477262,4009.1062069289,111.285089044275,567.029987506703,6.3783397826745,945.620543521754,11.5325686278426
"5",2021-01-05,"United Kingdom",61087,881,2782709,76428,392746,4753,666100,8019,67886004,89.9846748970524,1.29776382183285,4099.09088182595,112.582852866108,578.537514153875,7.00144318407665,981.203724997571,11.8124495882833
"6",2021-01-06,"United Kingdom",62556,1042,2845265,77470,405063,4813,689269,8313,67886004,92.1485966385649,1.53492610936416,4191.23947846452,114.117778975472,596.681165678864,7.08982664526844,1015.33299853678,12.2455285481231
"7",2021-01-07,"United Kingdom",52787,1162,2898052,78632,401821,5010,702908,8900,67886004,77.7582960988542,1.71169303174775,4268.99777456337,115.82947200722,591.905512659134,7.38001900951483,1035.42403232336,13.1102134101162
"8",2021-01-08,"United Kingdom",68192,1333,2966244,79965,416555,5728,738297,9663,67886004,100.450749759847,1.96358589614437,4369.44852432322,117.793057903364,613.609544612465,8.43767442844331,1087.55407079197,14.2341564249385
"9",2021-01-09,"United Kingdom",60098,1035,3026342,81000,418800,6318,763607,10487,67886004,88.5278208450743,1.52461470555845,4457.97634516829,119.317672608922,616.916559118725,9.30677846349595,1124.83716083804,15.4479559586391
"10",2021-01-10,"United Kingdom",55026,567,3081368,81567,418669,6430,786140,10707,67886004,81.0564722589946,0.835223708262457,4539.03281742729,120.152896317185,616.72358856179,9.4717609243873,1158.02956968862,15.7720286496757
